Artist,Country,Type,Gender,Rating,Tags
Lil Wayne,US,Person,Male,"{'value': 4.1, 'votes-count': 9}","[{'count': 1, 'name': '2000s'}, {'count': 1, 'name': '2010s'}, {'count': 1, 'name': 'criminal'}, {'count': 9, 'name': 'gangsta rap'}, {'name': 'hip hop', 'count': 6}, {'name': 'pop', 'count': 1}, {'count': 3, 'name': 'pop rap'}, {'name': 'r&b', 'count': 3}, {'name': 'rap rock', 'count': 3}, {'name': 'rock', 'count': 1}, {'count': 7, 'name': 'southern hip hop'}, {'count': 1, 'name': 'trap'}]"
aespa,KR,Group,,"{'value': 5, 'votes-count': 1}","[{'name': '2020s', 'count': 1}, {'name': '4th gen k-pop', 'count': 1}, {'count': 2, 'name': 'dance-pop'}, {'count': 2, 'name': 'electropop'}, {'name': 'girl group', 'count': 3}, {'name': 'k-pop', 'count': 5}, {'name': 'pop', 'count': 1}]"
Shakin’ Stevens,GB,Person,Male,"{'votes-count': 3, 'value': 4.35}","[{'name': 'british', 'count': 1}, {'name': 'rock', 'count': 1}, {'count': 1, 'name': 'uk'}, {'name': 'welsh', 'count': 1}]"
Post Malone,US,Person,Male,"{'value': 5, 'votes-count': 1}","[{'name': '2010s', 'count': 1}, {'count': 1, 'name': '2020s'}, {'count': 1, 'name': 'contemporary r&b'}, {'count': 1, 'name': 'country'}, {'count': 1, 'name': 'english'}, {'count': 5, 'name': 'hip hop'}, {'count': 2, 'name': 'pop rap'}, {'count': 2, 'name': 'trap'}]"
Morgan Wallen,US,Person,Male,"{'votes-count': 0, 'value': None}","[{'name': 'country', 'count': 2}, {'count': 1, 'name': 'country pop'}]"
The Beach Boys,US,Group,,"{'votes-count': 20, 'value': 4.45}","[{'count': 1, 'name': 'american'}, {'count': 5, 'name': 'baroque pop'}, {'count': 1, 'name': 'classic rock'}, {'count': 9, 'name': 'pop'}, {'name': 'pop rock', 'count': 6}, {'name': 'progressive pop', 'count': 3}, {'name': 'psychedelic pop', 'count': 6}, {'count': 1, 'name': 'rock'}, {'count': 7, 'name': 'sunshine pop'}, {'count': 14, 'name': 'surf rock'}, {'name': 'vocal surf', 'count': 2}]"
Jonas Brothers,US,Group,,"{'value': 4, 'votes-count': 5}","[{'count': 3, 'name': 'pop rock'}, {'name': 'teen pop', 'count': 4}]"
Kendrick Lamar,US,Person,Male,"{'value': 4.1, 'votes-count': 9}","[{'count': 1, 'name': 'alternative hip hop'}, {'name': 'conscious hip hop', 'count': 8}, {'name': 'hardcore hip hop', 'count': 4}, {'name': 'hip hop', 'count': 13}, {'name': 'jazz rap', 'count': 7}, {'count': 3, 'name': 'pop'}, {'name': 'pop rap', 'count': 2}, {'count': 3, 'name': 'rap'}, {'count': 1, 'name': 'trap'}, {'name': 'west coast hip hop', 'count': 6}]"
Blessd,CO,Person,Male,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'latin'}, {'name': 'reggaeton', 'count': 1}]"
Ovy on the Drums,CO,Person,Male,"{'value': None, 'votes-count': 0}","[{'name': 'latin', 'count': 1}, {'name': 'reggaeton', 'count': 1}]"
Stray Kids,KR,Group,,"{'value': 5, 'votes-count': 1}","[{'name': '4th gen k-pop', 'count': 1}, {'name': 'boy band', 'count': 2}, {'name': 'boy group', 'count': 3}, {'count': 1, 'name': 'electropop'}, {'name': 'k-pop', 'count': 3}, {'count': 1, 'name': 'pop rap'}, {'count': 1, 'name': 'trap'}, {'name': 'trap edm', 'count': 1}]"
Pentatonix,US,Group,,"{'votes-count': 5, 'value': 3.2}","[{'name': 'a cappella', 'count': 5}, {'name': 'close harmony', 'count': 1}, {'name': 'pop', 'count': 3}, {'name': 'vocal', 'count': 1}]"
